id	name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
BOL	Bolivia	1.0038	1.0404	1.099	1.2125	1.48	1.5093	1.6888	1.8904	2.1761	2.5462	2.4837	3.0589	3.5681	3.4545	3.5129	4.055	4.5748	4.4749	5.0201	4.7301	4.659	4.781	4.3379	4.2781	4.0293	4.1098	3.7637	4.0118	4.2868	4.9684	5.7268	5.974	6.622	7.7918	8.5924	9.799	9.7745	10.8831	10.9239	10.376	11.0047	8.5606	10.3281	11.0112	11.0183	12.0705	14.9208	12.1768	13.0406	13.7466	14.9414	15.8512	18.4857	18.5716	20.0298	20.0019	20.5623	20.8852
BIH	Bosnia and Herzegovina	5.2619	5.5154	5.6598	6.2963	7.1334	7.3395	7.2728	7.3461	7.8569	8.1463	10.6456	11.4727	10.7522	12.8439	12.8993	13.4588	13.8902	13.5066	15.0928	16.4158	16.1406	17.5653	16.1353	17.375	18.3234	18.6911	19.5199	19.3963	20.0741	20.0296	20.0141	14.1515	15.0276	12.5794	3.2044	3.4028	4.2385	8.3653	10.5513	10.3339	13.7013	13.2638	14.1726	14.3502	15.4625	16.046	17.3867	17.4743	19.9586	20.5371	21.1456	23.7613	22.1362	21.801	22.1176	24.7642	26.0017	26.6469
BRA	Brazil	46.8518	49.1445	53.6314	55.5509	56.6667	56.3296	64.2116	66.0794	77.2714	84.1327	93.5305	102.3579	114.0143	132.0196	142.9273	150.5137	154.3981	162.0783	175.9315	187.1551	185.7583	170.4679	170.7893	165.427	167.6056	179.9368	197.2262	205.7887	207.563	212.1136	206.9211	217.2275	218.3835	228.3332	239.4707	255.5834	281.1948	296.5853	308.3057	316.2824	324.226	332.9874	327.4348	317.5084	333.6751	342.0865	341.9464	356.9188	380.3449	360.0908	411.2402	430.1949	460.0631	493.5935	519.5263	512.0819	473.7414	476.0668
215	British Virgin Islands	NaN	0.003664	0.003664	0.007328	0.007328	0.010992	0.003664	0.014656	0.01832	0.01832	0.021984	0.021984	0.025648	0.025648	0.025648	0.025648	0.029312	0.029312	0.029312	0.029312	0.043968	0.03664	0.040304	0.040304	0.047632	0.05496	0.062288	0.065952	0.065952	0.065952	0.065952	0.069616	0.07328	0.080608	0.084272	0.095264	0.098928	0.10259	0.10259	0.10259	0.10626	0.11358	0.12091	0.12458	0.1319	0.1429	0.15022	0.16122	0.16488	0.17221	0.17587	0.17587	0.17587	0.17954	0.18743	0.19107	0.19103
BGR	Bulgaria	22.2707	25.945	30.704	34.3741	42.8181	46.2691	48.716	55.1077	59.4635	66.3077	61.174	64.2197	66.0751	68.7112	71.1282	72.9117	72.9522	75.7801	81.1872	78.9044	77.2247	80.0579	89.8117	90.0258	87.0063	89.183	91.1283	91.2281	86.8652	86.4372	78.6729	60.058	56.84	57.4834	55.9361	57.537	57.9525	55.1816	52.5263	46.0963	45.2139	48.9233	46.1664	50.4145	49.5086	50.5913	51.8256	55.637	53.9728	45.7071	47.7928	53.1165	48.2695	42.586	45.1425	48.1327	45.2874	49.0712
BFA	Burkina Faso	0.043968	0.0916	0.084272	0.087936	0.10992	0.10259	0.10259	0.10259	0.10259	0.12091	0.1429	0.15022	0.16122	0.16854	0.20518	0.21984	0.20885	0.24915	0.34808	0.4067	0.43235	0.55693	0.57525	0.59357	0.46533	0.47632	0.47998	0.51662	0.55326	0.82074	0.58258	0.62654	0.63021	0.62654	0.64486	0.62387	0.70446	0.80269	0.85763	0.91417	1.0309	0.99169	1.0011	1.0743	1.0999	1.1218	1.3562	1.6419	1.8628	1.8668	1.8939	2.1412	2.5503	2.9924	2.8021	2.7813	2.9698	3.335
BDI	Burundi	0.036431	0.047737	0.043968	0.047632	0.047632	0.03664	0.047632	0.047632	0.05496	0.07328	0.062288	0.07328	0.07328	0.07328	0.0916	0.076944	0.087936	0.098928	0.10259	0.10992	0.14656	0.15755	0.15755	0.20518	0.21984	0.23083	0.2345	0.24915	0.22717	0.26747	0.20885	0.23816	0.21618	0.22717	0.2345	0.23816	0.24182	0.24915	0.24915	0.25282	0.27114	0.20518	0.21251	0.16122	0.19786	0.15389	0.18686	0.18686	0.19053	0.19053	0.21251	0.23756	0.2736	0.27823	0.43153	0.47666	0.50815	0.52914
KHM	Cambodia	0.2345	0.28579	0.30778	0.38838	0.34072	0.40283	0.46875	0.41746	0.49074	1.3445	1.1723	0.24891	0.11704	0.12791	0.073072	0.073072	0.072774	0.072476	0.051139	0.029312	0.28579	0.30045	0.33709	0.3664	0.41037	0.4177	0.43235	0.43602	0.45067	0.45067	1.2604	1.3044	1.3484	1.385	1.4671	1.5403	1.5972	1.5251	1.9354	1.8943	1.9749	2.2497	2.2057	2.3779	2.4439	2.7736	2.9972	3.4525	3.805	4.5407	4.9169	5.0943	5.3335	5.4758	6.5164	6.9765	7.482	7.9383
CMR	Cameroon	0.27114	0.28213	0.28946	0.30045	0.33709	0.31144	0.34442	0.458	0.50563	0.57158	0.63742	0.80918	0.86036	0.89691	0.97376	1.1605	1.089	1.559	1.9932	1.8153	3.8859	5.3191	6.3159	6.5545	6.0529	6.4706	1.9932	1.843	2.1539	7.5777	1.6782	1.0567	3.7299	3.8394	3.7711	4.1745	4.4315	3.1564	3.1371	2.9981	3.3458	3.325	3.324	3.6985	3.8501	3.5913	3.7524	5.7019	5.4263	6.5949	6.662	5.6306	5.975	6.615	6.854	7.2174	7.5861	7.6872
CAN	Canada	192.7162	194.0007	206.9908	210.9108	237.5777	251.917	259.0744	281.637	303.2613	307.1192	341.1772	352.2851	380.7866	381.2647	389.6052	396.7727	398.946	407.7714	415.5054	441.6469	442.8173	429.5983	414.4264	408.3097	425.1993	421.6756	404.6601	430.9217	455.608	462.8177	463.8798	454.6275	468.8648	467.8796	483.0585	495.6645	510.5568	525.2531	534.2365	550.0432	572.5307	564.6353	570.8851	587.5963	585.8328	576.8016	570.4876	594.1402	574.8059	540.5187	555.4597	560.7759	563.6752	568.8924	568.0084	565.5767	558.189	572.7826
